"Guid","Name","SBQQ__Action__c","SBQQ__Active__c","SBQQ__BrandButton__c","SBQQ__Class__c","SBQQ__ConditionsMet__c","SBQQ__Default__c","SBQQ__Description__c","SBQQ__DisplayOrder__c","SBQQ__EventHandlerName__c","SBQQ__IconClass__c","SBQQ__Icon__c","SBQQ__Label__c","SBQQ__Location__c","SBQQ__PageHandlerName__c","SBQQ__Page__c","SBQQ__ReturnURL__c","SBQQ__TargetObject__c","SBQQ__Type__c","SBQQ__URLTarget__c","SBQQ__URL__c"
0157d861-f8f9-415a-80c8-c9b023f1c6be,Delete Group,Delete Group,true,false,deleteGroupBtn,All,false,"#N/A",954.0,onDeleteGroup,"#N/A","#N/A",Delete Group,Group,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
0615aaea-d977-4346-b863-a542df898c44,Import Lines,Import Lines,true,false,"#N/A",All,false,"#N/A",914.0,"#N/A","#N/A","#N/A",Import Lines,Quote Panel,ImportLines,Quote Detail,"#N/A","#N/A",Button,"#N/A","#N/A"
09149c89-446b-4eb4-b234-c298ef3f1f8d,Amend Subscriptions,Amend Subscriptions,true,false,amendSubscriptionsBtn,All,false,"#N/A",920.0,onAmendSubscriptions,"#N/A","#N/A",Amend Subscriptions,Quote/Group,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
0a66bfb7-ca1f-46d3-9f9d-83452d88cb93,Optional: None - Quote,Optional: None,true,false,optionalNoneBtn,All,false,"#N/A",911.0,updateLineOptional,sb-icon-dot-circled,dot-circled,Optional: None,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
0ac34057-1ca8-4d51-8a36-9934711d0cb1,Add To Favorites,Add To Favorites,true,false,addToFavBtn,All,false,"#N/A",990.0,onAddToFavorites,sb-icon-star-empty,star-empty,Add To Favorites,Line,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
0b702559-2a62-409e-99b3-59e5b25b365e,Reset Discounts - Quote,Reset Discounts,true,false,resetDiscBtn,All,false,"#N/A",909.0,onResetDiscounts,sf-icon-undo,undo,Reset Discounts,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
0d8efa8f-abce-4f73-8626-62a46f1ad4b5,Delete Lines,Delete Lines,true,false,deleteLinesBtn,All,false,"#N/A",907.0,onDeleteLines,"#N/A","#N/A",Delete Lines,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
106fc848-1f91-4739-af16-0a24585a2301,Email,Email,true,false,"#N/A",All,false,"#N/A",961.0,"#N/A","#N/A","#N/A",Email,Quote Document Panel,EmailDocument,Quote Document Detail,"#N/A","#N/A",Button,"#N/A","#N/A"
1c81d068-90b5-4b27-b9bf-0cd9de460fd4,Apply Edit Rules,Apply Edit Rules,true,false,"#N/A",All,false,"#N/A",901.0,"#N/A","#N/A","#N/A",Apply Rules,Configurator,"#N/A",Product Configurator,"#N/A","#N/A",Button,"#N/A","#N/A"
1e1c4a58-decf-43ce-bef2-19dce7d159af,Amend Subscriptions,Amend Subscriptions,true,false,amendSubscriptionsBtn,All,false,"#N/A",901.0,onAmendSubscriptions,"#N/A","#N/A",Amend Subscriptions,Quote/Group,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
20d4e743-0de3-4a8c-953c-27eaed030e7c,Edit Lines,Edit Lines,true,false,"#N/A",All,false,"#N/A",912.0,"#N/A","#N/A","#N/A",Edit Lines,Quote Panel,sb,Quote Detail,"#N/A","#N/A",Button,"#N/A","#N/A"
211af3e9-93d1-47e0-a0d2-70f6aea70cbf,Amend Contract,Amend Contract,true,false,"#N/A",All,false,"#N/A",941.0,"#N/A","#N/A","#N/A",Amend Contract,Opportunity Panel,SelectContractOpp,Opportunity Detail,"#N/A","#N/A",Button,"#N/A","#N/A"
23a65924-441e-445c-98b1-faa46aeb4b1c,Separator,"#N/A",true,false,"#N/A",All,false,"#N/A",908.0,"#N/A",sbToolSeparator,"#N/A",Add Products,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A",Separator,"#N/A","#N/A"
2598e6d5-8555-4354-8676-da3c8cf76547,Quick Save,Quick Save,true,false,quickSaveBtn,All,false,"#N/A",906.0,onQuickSave,"#N/A","#N/A",Quick Save,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
266ca761-da07-44a2-8954-5ab6d3ec8fca,Delete Group,Delete Group,true,false,deleteGroupBtn,All,false,"#N/A",951.0,onDeleteGroup,"#N/A","#N/A",Delete Group,Group,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
292bd479-b219-41cd-98e7-87656998d9a3,Save,Save,true,false,saveBtn,All,false,"#N/A",905.0,onSave,"#N/A","#N/A",Save,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
2b043e2a-2361-448f-964f-253067329a44,Clone Group,Clone Group,true,false,cloneGroupBtn,All,false,"#N/A",953.0,onCloneGroup,"#N/A","#N/A",Clone Group,Group,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
2b8f8fcb-d7b1-4687-a5fd-873510629382,Create Order,Create Order,true,false,"#N/A",All,false,"#N/A",911.0,"#N/A","#N/A","#N/A",Create Order,Quote Panel,CreateOrderFromQuote,Quote Detail,"#N/A","#N/A",Button,"#N/A","#N/A"
2be67231-53ca-4a57-b1c3-1e00a8b312f6,Add Group,Add Group,true,false,addGroupBtn,All,false,"#N/A",905.0,onAddGroup,"#N/A","#N/A",Add Group,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A",Menu,"#N/A","#N/A"
2e6e8388-6090-4f24-8429-5566190f7bcd,Separator,"#N/A",true,false,"#N/A",All,false,"#N/A",912.0,"#N/A",sbToolSeparator,"#N/A",Add Products,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A",Separator,"#N/A","#N/A"
32b907a7-2329-44c8-98d5-925034698aa2,Modify Quote Terms,Modify Quote Terms,true,false,"#N/A",All,false,"#N/A",915.0,"#N/A","#N/A","#N/A",Modify Quote Terms,Quote Panel,QuoteTermEditor,Quote Detail,"#N/A","#N/A",Button,"#N/A","#N/A"
356f27a9-aae1-4c0e-af41-439ad690a5cf,Separator,"#N/A",true,false,"#N/A",All,false,"#N/A",914.0,"#N/A",sbToolSeparator,"#N/A",Add Products,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A",Separator,"#N/A","#N/A"
37a0fd97-e166-47ad-a4f1-beea012ce954,Clone Group,Clone Group,true,false,cloneGroupBtn,All,false,"#N/A",950.0,onCloneGroup,"#N/A","#N/A",Clone Group,Group,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
3c7a6fd2-e095-44b3-8b89-9933f1729150,Renew Assets,Renew Assets,true,false,"#N/A",All,false,"#N/A",921.0,"#N/A","#N/A","#N/A",Renew Assets,Account Panel,AssetSelector,Account Detail,"#N/A","#N/A",Button,"#N/A","#N/A"
400c6d90-b3cd-44cc-bc39-bd8655bd085a,Reset Discounts - Quote,Reset Discounts,false,false,resetDiscBtn,All,false,"#N/A",908.0,onResetDiscounts,sf-icon-undo,undo,Reset Discounts,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
43e3604a-1eda-4f45-ad41-1fe2f97808f8,Reconfigure Line,Reconfigure Line,true,false,reconfigureBtn,All,false,"#N/A",992.0,onReconfigureLine,sf-icon-custom_apps,custom_apps,Reconfigure Line,Line,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
4cfe68e4-2937-4e0d-9eca-dd7b1a93e5b9,Optional: All - Group,Optional: All,true,false,optionalAllBtn,All,false,"#N/A",952.0,updateLineOptional,"#N/A","#N/A",Optional: All,Group,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
577a8502-cd0a-4c59-8e84-16aa46508411,Calculate,Calculate,true,false,calculateBtn,All,false,"#N/A",913.0,onFlagCalculate,"#N/A","#N/A",Calculate,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
5aad98a7-dc9f-4758-ace2-5a38d28734f3,View Pricing Guidance,View Pricing Guidance,true,false,viewPricingGuidanceBtn,All,false,"#N/A",999.0,onViewPricingGuidance,sf-icon-target,target,View Pricing Guidance,Line,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
5d04d367-b49f-4860-b70b-e769afe7083c,Create Order,Create Order,true,false,"#N/A",All,false,"#N/A",942.0,"#N/A","#N/A","#N/A",Create Order,Opportunity Panel,GenerateOrder,Opportunity Detail,"#N/A","#N/A",Button,"#N/A","#N/A"
61397942-9eec-41f8-aa8a-a607ac35c150,Optional: None - Group,Optional: None,true,false,optionalNoneBtn,All,false,"#N/A",952.0,updateLineOptional,"#N/A","#N/A",Optional: None,Group,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
